tool,quadrant,conc,files,bytes,objects,seconds,throughput_mbps,ops_per_sec,remote_read_bytes,error
dittofs,upload-large,1,2,67108864,7,2.884,186.154,0.693,0,
dittofs,download-large,1,2,67108864,0,0.173,3108.329,11.579,8388608,
dittofs,upload-small,1,128,8388608,1,3.438,19.518,37.227,0,
dittofs,download-small,1,128,8388608,0,0.853,78.682,150.073,8257536,
dittofs,meta,1,0,0,1,0.010,0.000,103.372,0,
rclone,upload-large,1,2,67108864,2,1.562,343.656,1.280,0,
rclone,download-large,1,2,67108864,0,1.316,408.031,1.520,0,
rclone,upload-small,1,128,8388608,128,1.139,58.894,112.331,0,
rclone,download-small,1,128,8388608,0,0.493,135.990,259.381,0,
rclone,meta,1,0,0,128,0.289,0.000,442.274,0,
dittofs,upload-large,4,2,67108864,7,1.667,322.005,1.200,0,
dittofs,download-large,4,2,67108864,0,0.244,2203.207,8.208,7340032,
dittofs,upload-small,4,128,8388608,1,1.812,37.040,70.649,0,
dittofs,download-small,4,128,8388608,0,0.250,268.972,513.024,6553600,
dittofs,meta,4,0,0,1,0.011,0.000,95.042,0,
rclone,upload-large,4,2,67108864,2,0.879,610.728,2.275,0,
rclone,download-large,4,2,67108864,0,0.931,576.392,2.147,0,
rclone,upload-small,4,128,8388608,128,0.587,114.265,217.942,0,
rclone,download-small,4,128,8388608,0,0.256,261.921,499.575,0,
rclone,meta,4,0,0,128,0.188,0.000,679.576,0,
